No,地域,slug,区分,人口,街の性格,分野,分野slug,推奨URLパス,優先度,判定メモ,枝(目安),状態
171,世田谷区,setagaya,区,950540,高級住宅・閑静,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/setagaya/,C,薄め/様子見,1-2,
172,世田谷区,setagaya,区,950540,高級住宅・閑静,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/setagaya/,A,主力・最優先,3-5,
173,世田谷区,setagaya,区,950540,高級住宅・閑静,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/setagaya/,A,主力・最優先,3-5,
174,世田谷区,setagaya,区,950540,高級住宅・閑静,コワーキング・シェアオフィス,coworking,/stories/coworking/setagaya/,C,薄め/様子見,1-2,
175,世田谷区,setagaya,区,950540,高級住宅・閑静,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/setagaya/,B,標準,2-3,
176,世田谷区,setagaya,区,950540,高級住宅・閑静,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/setagaya/,D,都心は対象外/親統合,0,
177,世田谷区,setagaya,区,950540,高級住宅・閑静,リトリート・禅体験,retreat-zen,/stories/retreat-zen/setagaya/,B,標準,2-3,
178,世田谷区,setagaya,区,950540,高級住宅・閑静,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/setagaya/,C,薄め/様子見,1-2,
179,世田谷区,setagaya,区,950540,高級住宅・閑静,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/setagaya/,C,薄め/様子見,1-2,
180,世田谷区,setagaya,区,950540,高級住宅・閑静,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/setagaya/,C,薄め/様子見,1-2,
181,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/shibuya/,C,薄め/様子見,1-2,
182,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/shibuya/,D,原則対象外/親統合,0,
183,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/shibuya/,D,原則対象外/親統合,0,
184,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/shibuya/,C,薄め/様子見,1-2,
185,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/shibuya/,A,主力・最優先,3-5,
186,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/shibuya/,C,薄め/様子見,1-2,
187,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/shibuya/,C,薄め/様子見,1-2,
188,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/shibuya/,C,薄め/様子見,1-2,
189,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,コワーキング・シェアオフィス,coworking,/stories/coworking/shibuya/,A,主力・最優先,3-5,
190,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/shibuya/,C,薄め/様子見,1-2,
191,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/shibuya/,D,都心は対象外/親統合,0,
192,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,リトリート・禅体験,retreat-zen,/stories/retreat-zen/shibuya/,B,標準,2-3,
193,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/shibuya/,B,標準,2-3,
194,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/shibuya/,A,主力・最優先,3-5,
195,渋谷区,shibuya,区,244742,若者文化・IT・トレンド,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/shibuya/,A,主力・最優先,3-5,
196,中野区,nakano,区,353922,サブカル・住宅・飲食,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/nakano/,C,薄め/様子見,1-2,
197,中野区,nakano,区,353922,サブカル・住宅・飲食,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/nakano/,D,原則対象外/親統合,0,
198,中野区,nakano,区,353922,サブカル・住宅・飲食,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/nakano/,D,原則対象外/親統合,0,
199,中野区,nakano,区,353922,サブカル・住宅・飲食,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/nakano/,C,薄め/様子見,1-2,
200,中野区,nakano,区,353922,サブカル・住宅・飲食,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/nakano/,B,標準,2-3,
201,中野区,nakano,区,353922,サブカル・住宅・飲食,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/nakano/,C,薄め/様子見,1-2,
202,中野区,nakano,区,353922,サブカル・住宅・飲食,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/nakano/,B,標準,2-3,
203,中野区,nakano,区,353922,サブカル・住宅・飲食,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/nakano/,B,標準,2-3,
204,中野区,nakano,区,353922,サブカル・住宅・飲食,コワーキング・シェアオフィス,coworking,/stories/coworking/nakano/,C,薄め/様子見,1-2,
205,中野区,nakano,区,353922,サブカル・住宅・飲食,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/nakano/,C,薄め/様子見,1-2,
206,中野区,nakano,区,353922,サブカル・住宅・飲食,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/nakano/,D,都心は対象外/親統合,0,
207,中野区,nakano,区,353922,サブカル・住宅・飲食,リトリート・禅体験,retreat-zen,/stories/retreat-zen/nakano/,C,薄め/様子見,1-2,
208,中野区,nakano,区,353922,サブカル・住宅・飲食,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/nakano/,C,薄め/様子見,1-2,
209,中野区,nakano,区,353922,サブカル・住宅・飲食,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/nakano/,C,薄め/様子見,1-2,
210,中野区,nakano,区,353922,サブカル・住宅・飲食,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/nakano/,C,薄め/様子見,1-2,
211,杉並区,suginami,区,599195,住宅・閑静・文化人,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/suginami/,C,薄め/様子見,1-2,
212,杉並区,suginami,区,599195,住宅・閑静・文化人,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/suginami/,D,原則対象外/親統合,0,
213,杉並区,suginami,区,599195,住宅・閑静・文化人,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/suginami/,D,原則対象外/親統合,0,
214,杉並区,suginami,区,599195,住宅・閑静・文化人,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/suginami/,C,薄め/様子見,1-2,
215,杉並区,suginami,区,599195,住宅・閑静・文化人,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/suginami/,A,主力・最優先,3-5,
216,杉並区,suginami,区,599195,住宅・閑静・文化人,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/suginami/,C,薄め/様子見,1-2,
217,杉並区,suginami,区,599195,住宅・閑静・文化人,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/suginami/,B,標準,2-3,
218,杉並区,suginami,区,599195,住宅・閑静・文化人,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/suginami/,B,標準,2-3,
219,杉並区,suginami,区,599195,住宅・閑静・文化人,コワーキング・シェアオフィス,coworking,/stories/coworking/suginami/,C,薄め/様子見,1-2,
220,杉並区,suginami,区,599195,住宅・閑静・文化人,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/suginami/,C,薄め/様子見,1-2,
221,杉並区,suginami,区,599195,住宅・閑静・文化人,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/suginami/,D,都心は対象外/親統合,0,
222,杉並区,suginami,区,599195,住宅・閑静・文化人,リトリート・禅体験,retreat-zen,/stories/retreat-zen/suginami/,A,主力・最優先,3-5,
223,杉並区,suginami,区,599195,住宅・閑静・文化人,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/suginami/,B,標準,2-3,
224,杉並区,suginami,区,599195,住宅・閑静・文化人,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/suginami/,B,標準,2-3,
225,杉並区,suginami,区,599195,住宅・閑静・文化人,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/suginami/,B,標準,2-3,
226,豊島区,toshima,区,311011,池袋・繁華街・住宅,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/toshima/,C,薄め/様子見,1-2,
227,豊島区,toshima,区,311011,池袋・繁華街・住宅,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/toshima/,D,原則対象外/親統合,0,
228,豊島区,toshima,区,311011,池袋・繁華街・住宅,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/toshima/,D,原則対象外/親統合,0,
229,豊島区,toshima,区,311011,池袋・繁華街・住宅,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/toshima/,B,標準,2-3,
230,豊島区,toshima,区,311011,池袋・繁華街・住宅,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/toshima/,B,標準,2-3,
231,豊島区,toshima,区,311011,池袋・繁華街・住宅,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/toshima/,B,標準,2-3,
232,豊島区,toshima,区,311011,池袋・繁華街・住宅,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/toshima/,A,主力・最優先,3-5,
233,豊島区,toshima,区,311011,池袋・繁華街・住宅,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/toshima/,B,標準,2-3,
234,豊島区,toshima,区,311011,池袋・繁華街・住宅,コワーキング・シェアオフィス,coworking,/stories/coworking/toshima/,C,薄め/様子見,1-2,
235,豊島区,toshima,区,311011,池袋・繁華街・住宅,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/toshima/,C,薄め/様子見,1-2,
236,豊島区,toshima,区,311011,池袋・繁華街・住宅,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/toshima/,D,都心は対象外/親統合,0,
237,豊島区,toshima,区,311011,池袋・繁華街・住宅,リトリート・禅体験,retreat-zen,/stories/retreat-zen/toshima/,C,薄め/様子見,1-2,
238,豊島区,toshima,区,311011,池袋・繁華街・住宅,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/toshima/,C,薄め/様子見,1-2,
239,豊島区,toshima,区,311011,池袋・繁華街・住宅,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/toshima/,C,薄め/様子見,1-2,
240,豊島区,toshima,区,311011,池袋・繁華街・住宅,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/toshima/,C,薄め/様子見,1-2,
241,北区,kita,区,369043,住宅・下町・交通,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/kita/,B,標準,2-3,
242,北区,kita,区,369043,住宅・下町・交通,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/kita/,D,原則対象外/親統合,0,
243,北区,kita,区,369043,住宅・下町・交通,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/kita/,C,限定的/要確認,1-2,
244,北区,kita,区,369043,住宅・下町・交通,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/kita/,C,薄め/様子見,1-2,
245,北区,kita,区,369043,住宅・下町・交通,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/kita/,A,主力・最優先,3-5,
246,北区,kita,区,369043,住宅・下町・交通,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/kita/,C,薄め/様子見,1-2,
247,北区,kita,区,369043,住宅・下町・交通,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/kita/,B,標準,2-3,
248,北区,kita,区,369043,住宅・下町・交通,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/kita/,B,標準,2-3,
249,北区,kita,区,369043,住宅・下町・交通,コワーキング・シェアオフィス,coworking,/stories/coworking/kita/,B,標準,2-3,
250,北区,kita,区,369043,住宅・下町・交通,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/kita/,C,薄め/様子見,1-2,
251,北区,kita,区,369043,住宅・下町・交通,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/kita/,D,都心は対象外/親統合,0,
252,北区,kita,区,369043,住宅・下町・交通,リトリート・禅体験,retreat-zen,/stories/retreat-zen/kita/,C,薄め/様子見,1-2,
253,北区,kita,区,369043,住宅・下町・交通,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/kita/,B,標準,2-3,
254,北区,kita,区,369043,住宅・下町・交通,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/kita/,B,標準,2-3,
255,北区,kita,区,369043,住宅・下町・交通,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/kita/,C,薄め/様子見,1-2,
256,荒川区,arakawa,区,225695,下町・住宅・職人,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/arakawa/,C,薄め/様子見,1-2,
257,荒川区,arakawa,区,225695,下町・住宅・職人,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/arakawa/,D,原則対象外/親統合,0,
258,荒川区,arakawa,区,225695,下町・住宅・職人,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/arakawa/,C,限定的/要確認,1-2,
259,荒川区,arakawa,区,225695,下町・住宅・職人,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/arakawa/,C,薄め/様子見,1-2,
260,荒川区,arakawa,区,225695,下町・住宅・職人,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/arakawa/,A,主力・最優先,3-5,
261,荒川区,arakawa,区,225695,下町・住宅・職人,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/arakawa/,C,薄め/様子見,1-2,
262,荒川区,arakawa,区,225695,下町・住宅・職人,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/arakawa/,B,標準,2-3,
263,荒川区,arakawa,区,225695,下町・住宅・職人,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/arakawa/,B,標準,2-3,
264,荒川区,arakawa,区,225695,下町・住宅・職人,コワーキング・シェアオフィス,coworking,/stories/coworking/arakawa/,C,薄め/様子見,1-2,
265,荒川区,arakawa,区,225695,下町・住宅・職人,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/arakawa/,C,薄め/様子見,1-2,
266,荒川区,arakawa,区,225695,下町・住宅・職人,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/arakawa/,D,都心は対象外/親統合,0,
267,荒川区,arakawa,区,225695,下町・住宅・職人,リトリート・禅体験,retreat-zen,/stories/retreat-zen/arakawa/,C,薄め/様子見,1-2,
268,荒川区,arakawa,区,225695,下町・住宅・職人,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/arakawa/,B,標準,2-3,
269,荒川区,arakawa,区,225695,下町・住宅・職人,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/arakawa/,B,標準,2-3,
270,荒川区,arakawa,区,225695,下町・住宅・職人,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/arakawa/,C,薄め/様子見,1-2,
271,板橋区,itabashi,区,597150,住宅・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/itabashi/,C,薄め/様子見,1-2,
272,板橋区,itabashi,区,597150,住宅・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/itabashi/,D,原則対象外/親統合,0,
273,板橋区,itabashi,区,597150,住宅・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/itabashi/,D,原則対象外/親統合,0,
274,板橋区,itabashi,区,597150,住宅・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/itabashi/,C,薄め/様子見,1-2,
275,板橋区,itabashi,区,597150,住宅・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/itabashi/,B,標準,2-3,
276,板橋区,itabashi,区,597150,住宅・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/itabashi/,C,薄め/様子見,1-2,
277,板橋区,itabashi,区,597150,住宅・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/itabashi/,B,標準,2-3,
278,板橋区,itabashi,区,597150,住宅・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/itabashi/,B,標準,2-3,
279,板橋区,itabashi,区,597150,住宅・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/itabashi/,C,薄め/様子見,1-2,
280,板橋区,itabashi,区,597150,住宅・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/itabashi/,C,薄め/様子見,1-2,
281,板橋区,itabashi,区,597150,住宅・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/itabashi/,D,都心は対象外/親統合,0,
282,板橋区,itabashi,区,597150,住宅・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/itabashi/,C,薄め/様子見,1-2,
283,板橋区,itabashi,区,597150,住宅・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/itabashi/,C,薄め/様子見,1-2,
284,板橋区,itabashi,区,597150,住宅・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/itabashi/,C,薄め/様子見,1-2,
285,板橋区,itabashi,区,597150,住宅・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/itabashi/,B,標準,2-3,
286,練馬区,nerima,区,761999,住宅・農地・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/nerima/,C,薄め/様子見,1-2,
287,練馬区,nerima,区,761999,住宅・農地・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/nerima/,D,原則対象外/親統合,0,
288,練馬区,nerima,区,761999,住宅・農地・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/nerima/,D,原則対象外/親統合,0,
289,練馬区,nerima,区,761999,住宅・農地・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/nerima/,C,薄め/様子見,1-2,
290,練馬区,nerima,区,761999,住宅・農地・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/nerima/,B,標準,2-3,
291,練馬区,nerima,区,761999,住宅・農地・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/nerima/,C,薄め/様子見,1-2,
292,練馬区,nerima,区,761999,住宅・農地・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/nerima/,B,標準,2-3,
293,練馬区,nerima,区,761999,住宅・農地・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/nerima/,B,標準,2-3,
294,練馬区,nerima,区,761999,住宅・農地・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/nerima/,C,薄め/様子見,1-2,
295,練馬区,nerima,区,761999,住宅・農地・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/nerima/,C,薄め/様子見,1-2,
296,練馬区,nerima,区,761999,住宅・農地・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/nerima/,C,限定的,1-2,
297,練馬区,nerima,区,761999,住宅・農地・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/nerima/,C,薄め/様子見,1-2,
298,練馬区,nerima,区,761999,住宅・農地・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/nerima/,C,薄め/様子見,1-2,
299,練馬区,nerima,区,761999,住宅・農地・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/nerima/,C,薄め/様子見,1-2,
300,練馬区,nerima,区,761999,住宅・農地・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/nerima/,B,標準,2-3,
301,足立区,adachi,区,706352,下町・住宅・庶民,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/adachi/,C,薄め/様子見,1-2,
302,足立区,adachi,区,706352,下町・住宅・庶民,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/adachi/,D,原則対象外/親統合,0,
303,足立区,adachi,区,706352,下町・住宅・庶民,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/adachi/,C,限定的/要確認,1-2,
304,足立区,adachi,区,706352,下町・住宅・庶民,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/adachi/,C,薄め/様子見,1-2,
305,足立区,adachi,区,706352,下町・住宅・庶民,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/adachi/,A,主力・最優先,3-5,
306,足立区,adachi,区,706352,下町・住宅・庶民,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/adachi/,C,薄め/様子見,1-2,
307,足立区,adachi,区,706352,下町・住宅・庶民,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/adachi/,B,標準,2-3,
308,足立区,adachi,区,706352,下町・住宅・庶民,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/adachi/,B,標準,2-3,
309,足立区,adachi,区,706352,下町・住宅・庶民,コワーキング・シェアオフィス,coworking,/stories/coworking/adachi/,C,薄め/様子見,1-2,
310,足立区,adachi,区,706352,下町・住宅・庶民,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/adachi/,C,薄め/様子見,1-2,
311,足立区,adachi,区,706352,下町・住宅・庶民,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/adachi/,D,都心は対象外/親統合,0,
312,足立区,adachi,区,706352,下町・住宅・庶民,リトリート・禅体験,retreat-zen,/stories/retreat-zen/adachi/,C,薄め/様子見,1-2,
313,足立区,adachi,区,706352,下町・住宅・庶民,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/adachi/,B,標準,2-3,
314,足立区,adachi,区,706352,下町・住宅・庶民,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/adachi/,B,標準,2-3,
315,足立区,adachi,区,706352,下町・住宅・庶民,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/adachi/,C,薄め/様子見,1-2,
316,葛飾区,katsushika,区,461493,下町・住宅・寅さん,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/katsushika/,C,薄め/様子見,1-2,
317,葛飾区,katsushika,区,461493,下町・住宅・寅さん,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/katsushika/,D,原則対象外/親統合,0,
318,葛飾区,katsushika,区,461493,下町・住宅・寅さん,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/katsushika/,C,限定的/要確認,1-2,
319,葛飾区,katsushika,区,461493,下町・住宅・寅さん,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/katsushika/,C,薄め/様子見,1-2,
320,葛飾区,katsushika,区,461493,下町・住宅・寅さん,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/katsushika/,A,主力・最優先,3-5,
321,葛飾区,katsushika,区,461493,下町・住宅・寅さん,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/katsushika/,C,薄め/様子見,1-2,
322,葛飾区,katsushika,区,461493,下町・住宅・寅さん,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/katsushika/,B,標準,2-3,
323,葛飾区,katsushika,区,461493,下町・住宅・寅さん,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/katsushika/,B,標準,2-3,
324,葛飾区,katsushika,区,461493,下町・住宅・寅さん,コワーキング・シェアオフィス,coworking,/stories/coworking/katsushika/,C,薄め/様子見,1-2,
325,葛飾区,katsushika,区,461493,下町・住宅・寅さん,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/katsushika/,C,薄め/様子見,1-2,
326,葛飾区,katsushika,区,461493,下町・住宅・寅さん,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/katsushika/,D,都心は対象外/親統合,0,
327,葛飾区,katsushika,区,461493,下町・住宅・寅さん,リトリート・禅体験,retreat-zen,/stories/retreat-zen/katsushika/,C,薄め/様子見,1-2,
328,葛飾区,katsushika,区,461493,下町・住宅・寅さん,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/katsushika/,B,標準,2-3,
329,葛飾区,katsushika,区,461493,下町・住宅・寅さん,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/katsushika/,B,標準,2-3,
330,葛飾区,katsushika,区,461493,下町・住宅・寅さん,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/katsushika/,C,薄め/様子見,1-2,
331,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/edogawa/,C,薄め/様子見,1-2,
332,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/edogawa/,D,原則対象外/親統合,0,
333,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/edogawa/,D,原則対象外/親統合,0,
334,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/edogawa/,C,薄め/様子見,1-2,
335,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/edogawa/,B,標準,2-3,
336,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/edogawa/,C,薄め/様子見,1-2,
337,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/edogawa/,B,標準,2-3,
338,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/edogawa/,B,標準,2-3,
339,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/edogawa/,C,薄め/様子見,1-2,
340,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/edogawa/,C,薄め/様子見,1-2,
341,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/edogawa/,C,限定的,1-2,
342,江戸川区,edogawa,区,698249,住宅・臨海・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/edogawa/,C,薄め/様子見,1-2,
